# group, type, basis, action, comment

game_direct, AGENT, *toto*, DIRECT, merusuto
adblock, HOST, e.crashlytics.com, REJECT, No_comment
adblock, HOST, pos.baidu.com, REJECT, chelaile_ad
adblock, KEYWORD, googleadservices, REJECT, ad_provider
adblock, KEYWORD, doubleclick, REJECT, ad_provider
adblock, KEYWORD, mobads, REJECT, chelaile_ad
adblock, KEYWORD, mobads, REJECT, chelaile_ad
adblock, KEYWORD, inmobi, REJECT, chelaile_ad
adblock, KEYWORD, igexin, REJECT, chelaile_ad
adblock, KEYWORD, nx-perf, REJECT, chelaile_ad
adblock, KEYWORD, baichuan, REJECT, chelaile_ad
adblock, KEYWORD, ugdtimg, REJECT, chelaile_ad
adblock, KEYWORD, weimob, REJECT, chelaile_ad
adblock, KEYWORD, weimobwmc, REJECT, chelaile_ad
adblock, KEYWORD, voiceads, REJECT, chelaile_ad
adblock, KEYWORD, a, REJECT, chelaile_ad
adblock, KEYWORD, uczzd, REJECT, chelaile_ad
adblock, KEYWORD, jpush, REJECT, chelaile_ad
adblock, KEYWORD, jjfinder, REJECT, chelaile_ad
adblock, KEYWORD, yximgs, REJECT, chelaile_ad
adblock, KEYWORD, umeng, REJECT, ad_provider
adblock, KEYWORD, snssdk, REJECT, ad_provider
adblock, KEYWORD, juicyads, REJECT, ad_provider
adblock, KEYWORD, ero-advertising, REJECT, ad_provider
adblock, SUFFIX, sm.cn, REJECT, chelaile_ad
adblock, SUFFIX, i-mobile.co.jp, REJECT, pixiv_ad
adblock, SUFFIX, socdm.com, REJECT, pixiv_ad
adblock, SUFFIX, adsymptotic.com, REJECT, pixiv_ad
adblock, SUFFIX, nend.net, REJECT, pixiv_ad
adblock, SUFFIX, adtdp.com, REJECT, pixiv_ad
adblock, SUFFIX, gratefulvideo.jp, REJECT, pixiv_ad
adblock, SUFFIX, amazon-adsystem.com, REJECT, pixiv_ad
appblock, HOST, update-check.realvnc.com, REJECT, realvnc_update
appblock, SUFFIX, codeweavers.com, REJECT, corssover_update
appblock, AGENT, *MDRPlugin*, REJECT, Sony_Headphones
appblock, AGENT, *wpsoffice*, REJECT, WPS
china_list, KEYWORD, qq, DIRECT, No_comment
china_list, KEYWORD, weiyun, DIRECT, No_comment
china_list, KEYWORD, weixin, DIRECT, No_comment
china_list, KEYWORD, gtimg, DIRECT, No_comment
china_list, KEYWORD, weibo, DIRECT, No_comment
china_list, KEYWORD, sina, DIRECT, No_comment
china_list, KEYWORD, ali, DIRECT, No_comment
china_list, KEYWORD, taobao, DIRECT, No_comment
china_list, KEYWORD, tanx, DIRECT, No_comment
china_list, KEYWORD, mmstat, DIRECT, No_comment
china_list, KEYWORD, biaoqingmm, DIRECT, No_comment
china_list, KEYWORD, jd, DIRECT, No_comment
china_list, KEYWORD, 360buy, DIRECT, No_comment
china_list, KEYWORD, baidu, DIRECT, No_comment
china_list, KEYWORD, bdstatic, DIRECT, No_comment
